Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
PRSP,23.96,1.26796281,0.3,Buy,188403,3855087800,,-4.4814,14000,Technology Services
PS,20.62,1.07843137,0.22,Buy,2143691,2491438125,,-1.1656,1600,Technology Services
PSB,130.035,-0.98606564,-1.295,Sell,35239,4569480000,31.89711704,4.1308,155,Finance
PSEC,5.46,0.92421442,0.05,Buy,1534786,2078037780,,0.3507,,Finance
PSMT,89.95,0.52525704,0.47,Buy,18427,2769520830,35.03661067,2.5542,9500,Retail Trade
PSN,35.04,0.63182079,0.22,Buy,190474,3529474080,39.50085082,0.9014,15879,Technology Services
PSO,9.07,1.4541387,0.13,Buy,172675,6702460000,20.77620265,0.4303,26000,Consumer Services
PSTG,24.357,3.82352941,0.897,Buy,7857991,6642947850,,-0.8836,3400,Electronic Technology
PSXP,27.47,1.59023669,0.43,Sell,290466,6270216400,6.93849273,3.9618,,Industrial Services
PTCT,64.825,-1.57151534,-1.035,Buy,86178,4423379253,,-6.9944,761,Health Technology
PTR,30.35,1.43716578,0.43,Sell,193347,6312790000,19.62095875,1.5249,460724,Energy Minerals
PTVE,18.445,-0.18939394,-0.035,Buy,243338,3266793520,,,26000,Process Industries
PVG,11.27,2.08333333,0.23,Sell,274797,2112225120,22.72565881,0.48699233,,Non-Energy Minerals
PVH,94.61,3.19589878,2.93,Buy,372439,6734620416,,-16.0368,21500,Consumer Non-Durables
PWR,70.585,2.10473022,1.455,Buy,704562,9791783415,25.55637708,2.7656,40300,Industrial Services
PZZA,87.18,0.72790295,0.63,Buy,155098,2878045148,107.34218033,0.8154,16500,Consumer Services
QDEL,198.06,-2.72102161,-5.54,Sell,545250,8354372954,23.90513091,8.8108,1250,Health Technology
QLYS,121.61,-3.08415684,-3.87,Buy,324932,4744418560,57.99057214,2.2595,1289,Technology Services
QRTEA,10.68,1.90839695,0.2,Buy,2757061,4464271120,6.4691358,1.629,25228,Retail Trade
QRTEB,10.67,1.61904762,0.17,Buy,4339,4451754472,6.32722222,1.629,25228,Retail Trade
QTS,62.2,1.46818923,0.9,Buy,422763,3949900000,,-0.3632,612,Finance
QTWO,129.02,0.02325762,0.03,Buy,194834,6949316304,,-2.2853,1574,Technology Services
R,64.21,0.57957393,0.37,Buy,162443,3456716320,,-3.862,39900,Finance
RAMP,71.96,0.53087455,0.38,Buy,170388,4774401100,,-1.3311,1150,Technology Services
RBA,70.6,0.7276359,0.51,Buy,213566,7725828000,44.25141443,1.60239566,2400,Commercial Services
RBC,120.25,1.40833193,1.67,Buy,66197,4879555060,27.58315887,4.3202,19560,Producer Manufacturing
RCII,38.58,-2.79667423,-1.11,Buy,318906,2092606415,11.53075158,3.5413,14500,Finance
RCKT,59.01,-0.01694341,-0.01,Strong Buy,570096,3530796000,,-1.818,57,Health Technology
RCM,23.6,0.72556551,0.17,Buy,317254,2757889680,255.50708833,0.1181,22500,Commercial Services
RCUS,31.22,-3.52286774,-1.14,Buy,155606,2039565470,,-1.9026,139,Health Technology
RDFN,77.655,-5.42564852,-4.455,Buy,1699560,7961339760,,-0.4871,3377,Finance
RDN,20.085,0.8789553,0.175,Buy,561505,3846464560,9.84425216,2.0385,2000,Finance
RE,229.3,0.50845972,1.16,Neutral,60148,9164135010,13.81444298,16.5353,1603,Finance
REG,45.065,-0.38682582,-0.175,Sell,297097,7676320000,163.38028169,0.2772,450,Finance
REGI,77.15,-2.35413239,-1.86,Buy,651410,3042777672,5.70617633,15.272,829,Process Industries
RETA,126.71,1.66078306,2.07,Sell,149235,4578411629,,-11.3563,220,Health Technology
REXR,47.82,-1.56442981,-0.76,Sell,219428,6340900000,84.31100312,0.5779,123,Finance
REYN,30.07,0.13320013,0.04,Strong Sell,148927,6309903090,18.31991215,1.6399,5100,Consumer Non-Durables
REZI,22.41,4.86663547,1.04,Buy,979873,3198486200,,-0.2532,13000,Commercial Services
RGA,114.24,2.37476476,2.65,Sell,88132,7761122880,14.18438815,7.9734,3188,Finance
RGLD,108.86,-0.26112053,-0.285,Sell,169545,7150245354,30.37120516,3.5992,27,Non-Energy Minerals
RH,465.1,0.10977421,0.51,Buy,164206,9491547336,59.2997728,10.8627,5100,Retail Trade
RHI,62.655,0.99129594,0.615,Sell,438719,7129449000,21.77759056,2.8647,205600,Commercial Services
RHP,64.445,3.36006415,2.095,Buy,176328,3428080000,,-5.2876,1206,Finance
RIDE,22.73,10.76998051,2.21,Buy,21512074,3752589750,,-0.0496,2,Consumer Durables
RKT,21.695,-0.02304147,-0.005,Buy,3977233,2503017235,,,,Finance
RL,102.065,3.26284905,3.225,Buy,258306,7471667268,,-1.1849,24900,Retail Trade
RLAY,49.15,3.93317826,1.86,Buy,153500,4420053376,,,122,Health Technology
RLI,102.92,-0.68512979,-0.71,Buy,42898,4637081184,37.27161559,2.8182,905,Finance
RLJ,14.09,4.21597633,0.57,Buy,476536,2231100000,,-1.8838,87,Finance
RMBS,17.58,-1.18043845,-0.21,Buy,221687,2003905570,,-0.3631,685,Electronic Technology
RNR,160.78,0.21191723,0.34,Sell,122918,8169231800,12.89316768,12.4649,566,Finance
ROCK,71.34,0.32344255,0.23,Buy,45251,2320126614,26.75420445,2.6833,1932,Producer Manufacturing
ROG,151.685,0.39380502,0.595,Buy,46326,2825835298,481.63850813,0.3153,3600,Process Industries
ROLL,178.89,0.98221846,1.74,Buy,49192,4494620872,41.19671636,4.3383,3890,Producer Manufacturing
ROOT,18.3,0.88202867,0.16,Buy,3323005,4552262755,,,,Finance
RP,87.68,0.17136982,0.15,Buy,2499439,8942180660,162.18269409,0.5613,7000,Technology Services
RPAY,27.875,-0.08960573,-0.025,Buy,281889,2047095400,,-0.7686,243,Commercial Services
RPD,89.99,-2.76607239,-2.56,Buy,529923,4659306251,,-1.6679,1544,Technology Services
RS,118.35,0.71483278,0.84,Sell,94093,7545558105,19.23272067,6.203,15300,Non-Energy Minerals
RUSHA,41.57,2.99801784,1.21,Buy,117991,2276511830,17.46430117,1.7828,7244,Distribution Services
RUSHB,37.25,0.53981107,0.2,Buy,8650,2038953250,16.03202077,1.7828,7244,Distribution Services
RVLV,31.42,-2.02681634,-0.65,Buy,1487378,2204483988,49.93771411,0.6652,1008,Retail Trade
RVMD,44.145,2.23483094,0.965,Buy,181639,2914090780,,-1.5705,95,Health Technology
