Ticker
AMZN
TSLA
NVDA
PYPL
ADBE
NFLX
ASML
QCOM
TMUS
SHOP
AMD
ZM
NOW
SQ
UBER
DE
SNAP
FDX
ATVI
LRCX
ADSK
WDAY
TWLO
MRNA
CRWD
SCCO
PTON
LULU
DOCU
PINS
ROKU
TTD
VEEV
TWTR
IDXX
CHWY
ALGN
CMG
SNPS
CDNS
FCX
RNG
CSGP
PANW
MSCI
OKTA
DXCM
SGEN
ZG
DDOG
Z
TDOC
ZS
PAYC
W
COUP
NET
WORK
ETSY
BNTX
YNDX
TTWO
ODFL
MDB
EXAS
ENPH
MKTX
FTCH
DKNG
WST
EPAM
ROL
TER
SIVB
HUBS
CVNA
CCC
NVCR
BIO
CTLT
PODD
TSCO
ZEN
TRMB
CDAY
MPWR
ALB
TXG
LOGI
AVLR
PENN
HZNP
MASI
POOL
ARGX
PLUG
GNRC
PTC
ESTC
ABMD
GH
RUN
CABO
ENTG
DVA
CRL
DT
NUAN
SAM
MOH
CRSP
CHGG
FIVN
QGEN
BILL
MRTX
IPGP
PCTY
ERIE
RARE
CREE
FSLY
PEGA
SMG
APPN
LB
FSLR
ZNGA
RGEN
DNLI
FND
TREX
PWR
AMED
RH
NFE
NTRA
KGC
NVTA
DAR
RP
ADPT
SMAR
BYND
FATE
BBIO
IPHI
NYT
AAXN
DECK
QDEL
CHDN
TWST
IIVI
BL
RDFN
NVAX
XLRN
KOD
RBA
LAD
ALLK
TGTX
IOVA
SFIX
LHCG
QTWO
LSPD
IRTC
SITE
BPMC
BLDP
UTHR
BLD
ANGI
YETI
NVRO
APPF
FOLD
TPTX
VRT
NEO
SPCE
CLGX
LSCC
TNDM
FRPT
WMS
CLF
HALO
TENB
EXPI
BRKS
CCJ
BHVN
VRNS
EVBG
PACB
IRDM
BJ
SAIL
INSP
PRLB
APPS
EDIT
SPWR
EBS
BE
MEDP
PFSI
EIDX
ALRM
DM
KNSL
BLDR
SAIA
POWI
HASI
TFII
IMVT
UPWK
RPD
NOVA
KWR
VVNT
ESI
WK
FOXF
LPSN
ARNA
GTLS
CROX
IIPR
NAV
ALTR
TRUP
AY
BAND
CCXI
FCEL
APLS
WING
OLN
VICR
CRNC
FIZZ
SGMS
CDLX
HAIN
STMP
VIR
ENSG
SPSC
SAFE
FUBO
JMIA
NGHC
NTLA
PD
CWEN
CDNA
SWTX
ARVN
STAA
MTSI
RCKT
EGHT
BMCH
PGNY
CWEN.A
TTEC
CVET
AIMC
SWAV
OSB
MGNI
VG
VCYT
AMBA
ADNT
FORM
NSTG
REZI
HL
IBP
CORT
CSIQ
TWOU
PDCO
APG
VIRT
MSTR
REGI
APAM
CELH
GDOT
MMSI
BSTZ
SONO
LTHM
JOE
COOP
LGIH
WKHS
RCM
SPT
AHCO
TRQ
ARCT
MXL
IGMS
DAVA
SSTK
ATRC
SGMO
OSTK
AMRC
BEAT
IRBT
MCRB
KURA
DY
MED
PLMR
SNBR
OMI
EGO
FOCS
LTRPB
RVLV
SRNE
GSHD
THRM
PHR
YMAB
SILK
STOK
MAXR
NGM
DOMO
GRWG
RPAY
RCUS
CALX
LOB
BGS
PRSC
TPIC
REPL
CYRX
RRC
AXNX
MRSN
PJT
NK
SITM
TBIO
RVNC
LAZR
HBM
TUP
MAG
PGEN
SRRK
TTGT
INO
OFLX
PNTG
BIG
FLWS
GLUU
OCUL
PSNL
INSG
CLNE
COHU
VRTS
AR
WDR
SDC
AAWW
CCS
VSTO
BSIG
BALY
GME
QTRX
BLFS
CYTK
CSTL
SLP
XPEL
ROAD
BLNK
SGRY
PAR
TVTX
MGNX
MBUU
HSKA
EVH
CERS
FSM
VCRA
LASR
BCRX
EIGI
AMRS
LAC
UTZ
VCEL
ACMR
GPRO
OTRK
CLLS
BTAI
CWH
SI
UIS
FSR
GRBK
LCAHU
FLGT
FRTA
NTGR
FREQ
PRPL
ATEC
ARCB
TRIL
SNDX
GNMK
RILY
HOME
MORF
HGEN
NVEE
PI
MVIS
BRP
SWBI
IESC
TCRR
MYRG
SHYF
LL
AGYS
PTGX
RIOT
RBBN
STKL
PACK
LCA
VERI
UNFI
CYH
CEVA
VIVO
TPB
FPRX
STRO
GOGO
ADAP
HZO
HIBB
MARA
THCBU
ATEN
MITK
DMRC
SPWH
VFF
WPRT
VXRT
CMBM
RMG
ALBO
USAT
KODK
PRTY
ADTN
VAPO
COWN
CDMO
