Ticker,Last,Change %,Change,Rating,Volume,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Number of Employees,Sector
ATVI,90.24,0.9170208,0.82,Buy,3378756,69734887110,31.32707399,2.8749,9200,Consumer Durables
AVB,156.61,-1.22981837,-1.95,Strong Sell,295642,22136400000,34.09965806,4.6502,3122,Finance
AVGO,427.99,-1.17986608,-5.11,Buy,596258,173166878100,68.74603175,6.6084,21000,Electronic Technology
AVLR,182.675,-0.60667066,-1.115,Buy,229007,15451949139,,-0.639,1452,Technology Services
AVTR,27.02,-0.88041086,-0.24,Buy,1481995,15638286560,224.54695222,0.1246,12000,Process Industries
AVY,153.5,1.14654718,1.74,Buy,135012,12800863154,24.23700391,6.3183,30000,Process Industries
AWK,147.69,-0.24989869,-0.37,Sell,387653,26779312560,40.57105278,3.6575,6800,Utilities
AXP,117.14,2.26102139,2.59,Buy,1494138,94337466320,28.30002223,4.0552,64500,Finance
AZN,48.845,0.23599425,0.115,Sell,8964492,127932000000,50.87169851,0.9585,70600,Health Technology
AZO,1194.66,0.37557029,4.47,Buy,123875,27171634308,15.59638798,78.078,100000,Retail Trade
BA,220.5757,0.82077886,1.7957,Buy,9063261,124501446200,,-7.8923,161100,Electronic Technology
BABA,256.55,0.28143689,0.72,Sell,8858549,692183000000,37.05586697,7.0185,117600,Retail Trade
BAC,30.215,3.44060253,1.005,Buy,36323388,261329119873,14.43823835,2.0342,208000,Finance
BAH,87.745,0.625,0.545,Sell,352803,12097967000,23.73047407,3.7101,27200,Commercial Services
BAM,40.365,2.03488372,0.805,Buy,726540,60883584390,,-0.07419053,151900,Finance
BAP,164.575,1.65225448,2.675,Buy,151755,13126748863,64.93662763,2.4951,35846,Finance
BAX,79.1,0.55936944,0.44,Sell,969807,40408257890,44.66780239,1.7894,50000,Health Technology
BBD,5.35,2.29445507,0.12,Buy,11655315,23052400000,13.97648316,0.3742,97329,Finance
BBDO,4.7001,-1.05052632,-0.0499,Buy,4186,21032100000,12.69374666,0.3742,97329,Finance
BBL,53.23,1.73929664,0.91,Buy,758708,55251700000,16.67995027,3.1441,,Non-Energy Minerals
BBVA,4.945,3.6687631,0.175,Buy,2349662,31662700000,,-0.0162,126973,Finance
BBY,103.35,-0.74906367,-0.78,Sell,1619422,26752902675,15.82330416,6.654,125000,Retail Trade
BCE,42.56,0.54334987,0.23,Sell,548081,38483678040,22.41429378,1.8888265,52100,Communications
BCH,20.77,0.82524272,0.17,Strong Buy,86409,10404800000,16.94636394,,,Finance
BCS,8.175,5.75679172,0.445,Buy,6319383,33514600000,,0.5897,80800,Finance
BDX,245.005,-0.36396909,-0.895,Buy,628856,71258740000,90.08976003,2.7609,72000,Health Technology
BEKE,67.955,0.43600355,0.295,Buy,1774332,57394600000,,-0.182,,Technology Services
BEN,24.88,1.34419552,0.33,Buy,1356616,12566863760,15.45288601,1.5902,11800,Finance
BEP,41.46,0.9004624,0.37,Strong Buy,374114,18498491441,,-0.53288415,,Utilities
BF.A,72.38,-0.33048747,-0.24,Sell,60316,34625263000,37.8111007,1.93,4800,Consumer Non-Durables
BF.B,77.3,-0.59156379,-0.46,Sell,316395,37032520400,40.4873477,1.93,4800,Consumer Non-Durables
BFAM,165.51,2.20452019,3.57,Sell,210521,10031870652,132.61813119,1.2445,33800,Commercial Services
BGNE,264.245,1.07290392,2.805,Buy,109824,23772500000,,-20.2643,3500,Health Technology
BHP,65.7,1.6555779,1.07,Buy,1378062,95187700000,20.60445691,3.1441,,Non-Energy Minerals
BIDU,194.275,1.57638816,3.015,Buy,4483676,52147700000,19.46032844,9.9073,37779,Technology Services
BIIB,252.77,1.9768427,4.9,Buy,704737,38884442580,8.20533362,30.2671,7400,Health Technology
BILI,82.15,-4.34326968,-3.73,Buy,3769404,22506600000,,-1.0731,4791,Technology Services
BILL,150.85,-1.91807542,-2.95,Buy,526496,11847287569,,-0.5004,618,Technology Services
BIO,577,-1.11057791,-6.48,Buy,66018,17212198500,4.99454733,118.2947,8120,Health Technology
BIP,50.48,1.8974566,0.94,Sell,114423,14909722320,,-0.3457,,Utilities
BK,41.04,1.88679245,0.76,Buy,2502701,36358160080,8.84089462,4.5682,48400,Finance
